case_id,prefix_length,start,rem_time,train,val,test
Case 7,2,2013-11-06 10:47:35+00:00,33.922731481481485,0,0,1
Case 7,3,2013-11-06 10:47:35+00:00,18.03991898148148,0,0,1
Case 7,4,2013-11-06 10:47:35+00:00,15.027430555555556,0,0,1
Case 7,5,2013-11-06 10:47:35+00:00,15.000208333333333,0,0,1
Case 9,2,2010-05-07 13:02:21+00:00,33.10650462962963,1,0,0
Case 9,3,2010-05-07 13:02:21+00:00,16.214907407407406,1,0,0
Case 9,4,2010-05-07 13:02:21+00:00,15.00013888888889,1,0,0
Case 10,2,2010-02-10 08:50:20+00:00,14.958703703703703,1,0,0
Case 10,3,2010-02-10 08:50:20+00:00,14.958622685185185,1,0,0
Case 14,2,2011-07-05 13:47:08+00:00,31.002071759259263,0,0,1
Case 14,3,2011-07-05 13:47:08+00:00,30.998425925925925,0,0,1
Case 19,2,2010-07-07 07:54:04+00:00,28.909375,1,0,0
Case 19,3,2010-07-07 07:54:04+00:00,28.909074074074073,1,0,0
Case 24,2,2010-04-27 09:49:56+00:00,15.152453703703705,1,0,0
Case 24,3,2010-04-27 09:49:56+00:00,15.00013888888889,1,0,0
Case 33,2,2013-04-29 13:22:48+00:00,15.809421296296295,0,0,1
Case 33,3,2013-04-29 13:22:48+00:00,15.00017361111111,0,0,1
Case 36,2,2011-06-29 10:06:48+00:00,29.883298611111112,0,1,0
Case 36,3,2011-06-29 10:06:48+00:00,25.109456018518518,0,1,0
Case 42,2,2011-06-16 12:23:39+00:00,43.98574074074074,0,1,0
Case 42,3,2011-06-16 12:23:39+00:00,43.951875,0,1,0
Case 54,2,2013-11-07 08:20:59+00:00,18.2943287037037,0,0,1
Case 54,3,2013-11-07 08:20:59+00:00,15.000208333333333,0,0,1
Case 75,2,2010-03-11 15:15:54+00:00,15.000347222222222,1,0,0
Case 75,3,2010-03-11 15:15:54+00:00,15.00025462962963,1,0,0
Case 75,4,2010-03-11 15:15:54+00:00,15.000196759259259,1,0,0
Case 81,2,2010-02-09 08:31:47+00:00,58.96216435185185,1,0,0
Case 81,3,2010-02-09 08:31:47+00:00,58.96200231481481,1,0,0
Case 81,4,2010-02-09 08:31:47+00:00,58.9612962962963,1,0,0
Case 81,5,2010-02-09 08:31:47+00:00,48.964618055555555,1,0,0
Case 81,6,2010-02-09 08:31:47+00:00,48.96438657407407,1,0,0
Case 90,2,2010-03-16 07:59:03+00:00,35.29056712962963,1,0,0
